"","type","length","name","instances","proportion","songs","proportion.cumulative","rank","proportion.zm"
"1341","relative pitch",3,"-5_-3",1,9.85415845486795e-05,1,0.996245063750791,248,0.000343972446732837
"1342","relative pitch",3,"+8_-1",5,9.71605403936551e-05,3,0.996342224291185,249,0.000342324093156912
"1343","relative pitch",3,"-10_+11",5,9.6741738255553e-05,1,0.99643896602944,250,0.000340690194633874
"1344","relative pitch",3,"+5_+4",2,9.63478611783697e-05,2,0.996535313890619,251,0.000339070567367691
"1345","relative pitch",3,"+10_-5",4,9.53150439337547e-05,3,0.996630628934552,252,0.000337465030618737
"1346","relative pitch",3,"-1_-6",5,9.52199581032184e-05,1,0.996725848892656,253,0.000335873406641094
"1347","relative pitch",3,"-10_+4",1,9.52199581032184e-05,1,0.996821068850759,254,0.000334295520621387
"1348","relative pitch",3,"+9_+1",1,9.52199581032184e-05,1,0.996916288808862,255,0.000332731200619099
"1349","relative pitch",3,"-11_+5",4,9.06506450045199e-05,2,0.997006939453867,256,0.00033118027750833
"1350","relative pitch",3,"-3_+6",4,9.04964483705391e-05,2,0.997097435902237,257,0.000329642584920962
